00001_CARD_NAME;Power Up;力量提升;
00018_CARD_TEXT;Choose an enemy. It skips its next turn.\n{exhaust};选择一个敌人，它将跳过其下一回合。\n{exhaust};
00019_CARD_NAME;Force Field;力场;
00019_CARD_TEXT;Both heroes gain protection.\n{exhaust};两位英雄都获得保护。\n{exhaust};
00020_CARD_NAME;Unstable Concoction;不稳定的混合物;
00020_CARD_TEXT;Gain {faeria|8}. \n{exhaust} every card you play this turn.;获得 {faeria|8}。\n{exhaust}本回合你所打出的每张牌。;
00021_CARD_NAME;Balloon Fish;气球鱼;
00021_CARD_TEXT;{ally}\n{activate} - {swap} your heroes and draw a card.;{ally}\n{activate} - {swap}你的英雄并抽一张牌。;
00022_CARD_NAME;Thousand Cuts;千刀万斩;
00022_CARD_TEXT;Attack an enemy for {dynamic_number|power|7}, three times.;攻击一个敌人 {dynamic_number|power|7} 点，三次。;
00023_CARD_NAME;Fire Oil;火油;
00023_CARD_TEXT;Give a hero 3 {power}.\n{exhaust};给英雄 3 点{power}。\n{exhaust};
00024_CARD_NAME;Greedshield;贪婪之盾;
00024_CARD_TEXT;{melee}, {retain}\nGain {blocknumberless} equal the size of your draw pile. ({dynamic_number|deckSize|0});{melee}，{retain}\n获得等于你的抽牌堆牌数的{blocknumberless}。（{dynamic_number|deckSize|0}）;
00026_CARD_NAME;Rising Tempo;上升节奏;
00026_CARD_TEXT;Until the end of your turn, whenever you play a card, draw a card.\nYour discard pile does not get reshuffled this turn.;直到你的回合结束，每当你打出一张牌，就抽一张牌。\n，你的弃牌堆在本回合不会被重新洗牌。;
00028_CARD_NAME;Focus;聚焦;
00028_CARD_TEXT;At the start of your next turn, draw 2 Sharra cards, gain {faeria|2}, and move Sharra to the front.;在你下一回合开始时，抽 2 张莎拉牌，获得 {faeria|2}，并将莎拉移到前方。;
00029_CARD_NAME;Daggerstorm;匕首风暴;
00029_CARD_TEXT;Double your stack of {refer|1006}<b>s</b>.\n{exhaust};用{refer|1006}<b></b>将你的手牌加倍。\n{exhaust};
00030_CARD_NAME;Critical Hit;暴击;
00030_CARD_TEXT;The next {dynamic_number|life|0} hit(s) taken from heroes deal double damage.;来自英雄的下一次 {dynamic_number|life|0} 命中造成双倍伤害。;
00031_CARD_NAME;Hammer Time;锤击时间;
00031_CARD_TEXT;This always costs all your energy. \nAttack for 10 times the amount spent. ({dynamic_number|power|0});这始终会花费你所有的能量。\n攻击值为花费数量的 10 倍。（{dynamic_number|power|0}）;
00032_CARD_NAME;Glow Worms;发光蠕虫;
00032_CARD_TEXT;The next hit on an enemy is a {criticalhit}.;对敌人的下一次命中为{criticalhit}。;
00033_CARD_NAME;Red Curtain;红色帘幕;
00033_CARD_RAGE_TEXT;Gain {block|20}.;获得 {block|20}。;
00033_CARD_TEXT;Gain {block|16}.\nSeifer loses 4 life.;获得 {block|16}。\n塞弗损失 4 点生命值。;
00034_CARD_NAME;Ulani;乌拉妮;
00034_CARD_TEXT;{ally}\nAt the start of your turn, add a random card to your hand for each point of {spirit} Ulani has.;{ally}\n在你的回合开始时，乌拉妮拥有的每一点{spirit}都会为你的手牌添加一张随机的牌。;
00035_CARD_NAME;Drain Strength;力量吸取;
00035_CARD_RAGE_TEXT;{heroic}\nReduce an enemy's {power} by 8 until the end of the turn.\nHeal 8 life.\n{exhaust};{heroic}\n减少一个敌人的{power} 8 点，直到回合结束。\n治疗 8 点生命值。\n{exhaust};
00035_CARD_TEXT;{heroic}\nReduce an enemy's {power} by 4 for one turn.\nHeal 4 life. \n{exhaust};{heroic}\n减少敌人的{power} 4 点一回合。\n治疗 4 点生命值。\n{exhaust};
00036_CARD_NAME;Duel;决斗;
00036_CARD_TEXT;{heroic}\nAttack the leading enemy for {dynamic_number|power|6}, twice.;{heroic}\n攻击领军敌人 {dynamic_number|power|6} 点，两次。;
00037_CARD_NAME;Recall;召回;
00037_CARD_TEXT;{combo}\nAdd 3 {refer|1006}<b>s</b> to your hand.\nWhenever this card is {exhaust}<b>d</b> or discarded add a {refer|1006} to your hand.;{combo}\n将 3 张{refer|1006}<b></b>加入你的手牌。\n每当这张牌被{exhaust}<b></b>或被丢弃时，将一张{refer|1006}加入你的手牌。;
00038_CARD_NAME;Blade Twist;刀刃扭转;
00038_CARD_TEXT;Double an enemy's bleed stacks, then inflict {bleed|3}.\n{exhaust};敌人的出血层叠变为双倍，然后造成 {bleed|3}。\n{exhaust};
00039_CARD_NAME;Windstorm Archer;暴风射手;
00039_CARD_TEXT;{ally}, {aggressive}\n{activate} - Attack an enemy. Lose {aggressive} this turn.;{ally}，{aggressive}\n{activate} - 攻击一个敌人。本回合失去{aggressive}。;
00040_CARD_NAME;Burst Powder;爆裂粉末;
00040_CARD_TEXT;Choose an enemy. For the rest of the turn, all damage dealt to this enemy also damages adjacent enemies.;选择一个敌人。在该回合剩余时间里，对这个敌人造成的所有伤害也会伤害邻近的敌人。;
00041_CARD_NAME;Burst Powder;爆裂粉末;
00041_CARD_TEXT;For the rest of the turn, all damage dealt to enemies is dealt to their neighbors as well. Stacks {dynamic_number|life|0}.;在该回合剩余时间里，对敌人造成的所有伤害也会伤害邻近的敌人。堆叠 {dynamic_number|life|0} 层。;
00042_CARD_NAME;Whirlwind;旋风;
00042_CARD_TEXT;Attack all enemies for {dynamic_number|power|12}. For each enemy hit, gain {block|4}.;攻击所有敌人 {dynamic_number|power|12} 点。每击中一个敌人，获得 {block|4}。;
00043_CARD_NAME;Warmed Up;热身;
00043_CARD_TEXT;Every 3 times your characters swap, gain {faeria|1}.;你的角色每交换 3 次，获得 {faeria|1}。;
00044_CARD_NAME;Riposte;还击;
00044_CARD_TEXT;Gain {block|7}. \nDuring the enemy's next turn, each time an attack is fully blocked, add a {refer|1006} to your hand.;获得 {block|7}。\n在敌人的下一回合，每当攻击被完全格挡时，将一张{refer|1006}加入你的手牌。;
00045_CARD_NAME;Riposte;还击;
00045_CARD_TEXT;Each time this hero fully blocks an attack this turn, add {dynamic_number|life|0} copies of {refer|1006} to your hand.;每当此英雄在本回合完全格挡一次攻击时，将 {dynamic_number|life|0} 张{refer|1006}加入你的手牌。;
00046_CARD_NAME;Smoke Bomb;烟雾弹;
00046_CARD_TEXT;Gain {block|9}.\n{retreat};获得 {block|9}。\n{retreat};
00047_CARD_NAME;Jab;刺拳;
00047_CARD_TEXT;{combo}\nAttack for {dynamic_number|power|3}. \nGain {block|2}. \nGain 1 {courage}.;{combo}\n攻击 {dynamic_number|power|3} 点。\n获得 {block|2}。\n获得 1 点{courage}。;
00048_CARD_NAME;Cyclone Lariat;飓风套索;
00048_CARD_TEXT;{melee}\nAttack for {dynamic_number|power|8}. \nWhenever you gain block this turn, deal 8 damage to the leading enemy.;{melee}\n攻击 {dynamic_number|power|8} 点。\n本回合每当你获得格挡，就对领军敌人造成 8 点伤害。;
00049_CARD_NAME;Cyclone Lariat;飓风套索;
00049_CARD_TEXT;Whenever the heroes gain block this turn, Deal {dynamic_number|0|8} damage to the leading enemy.;本回合每当英雄获得格挡，就对领军的敌人造成 {dynamic_number|0|8} 点伤害。;
00050_CARD_NAME;Buckle Up;勒紧腰带;
00050_CARD_TEXT;Gain {block|10}. \nDecrease the cost of a random card in your hand to {faeria|0} this turn.;获得 {block|10}。\n将你手牌中的一张随机牌的消耗在本回合降低到 {faeria|0}。;
00051_CARD_NAME;Fissure;裂缝;
00051_CARD_TEXT;{heroic}\n Attack for {dynamic_number|power|7} twice. \nIf Sharra has {courage}, she gains {block|10}.;{heroic}\n 攻击 {dynamic_number|power|7} 点两次。\n如果莎拉有 {courage}，她获得 {block|10}。;
00052_CARD_NAME;Think Twice;三思而后行;
00052_CARD_TEXT;{combo}\nDraw a card. \nGain {block|2}.;{combo}\n抽一张牌。 \n获得 {block|2}。;
00053_CARD_NAME;Volley;截击;
00053_CARD_TEXT;Attack a random enemy for {dynamic_number|power|1}.\nAttack again for each {power} Sorocco has. ({dynamic_number|soroccoPower|0});攻击一个随机的敌人 {dynamic_number|power|1} 点。\n索洛科每有一点{power}，就再次进行攻击。（{dynamic_number|soroccoPower|0}）;
00054_CARD_NAME;Phasestone;阶段石;
00054_CARD_SUFFIX_TEXT;After you play this, return it to the top of your deck at the end of your turn.;在你打出这张牌之后，在你的回合结束时将它放回你的牌组顶部。;
00054_CARD_TEXT;After you play this, return it to the top of your deck at the end of your turn.;在你打出这张牌之后，在你的回合结束时将它放回你的牌组顶部。;
00055_CARD_NAME;Kaleidoscopic Prism;万花筒棱镜;
00055_CARD_SUFFIX_TEXT;After you play this, shuffle 3 copies of the card into your discard pile (with no gems).;在你打出这张牌后，将这张牌的 3 个副本洗到你的弃牌堆里（无宝石）。;
00055_CARD_TEXT;After you play this, shuffle 3 copies of the card into your discard pile (with no gems).;在你打出这张牌后，将这张牌的 3 个副本洗到你的弃牌堆里（无宝石）。;
00056_CARD_NAME;Mirror Moonstone;镜面月光石;
00056_CARD_SUFFIX_TEXT;When you play this, add a copy to your hand. (With no gems.);打出这张牌时，将一张副本加入你的手牌。（无宝石。）;
00056_CARD_TEXT;When you play this, add a copy to your hand (With no gems).;打出这张牌时，将一张副本加入你的手牌（无宝石）。;
00057_CARD_NAME;Cobalt Guardian;深蓝守护者;
00057_CARD_TEXT;Start each battle with a {refer|58}.;以{refer|58}开始每一场战斗。;
00058_CARD_NAME;Cobalt Guardian;深蓝守护者;
00058_CARD_TEXT;{ally}\n{aggressive}\nAt start of the heroes' turn, gain {blocknumberless} equal to this ally's {spirit}.;{ally}\n{aggressive}\n在英雄回合开始时，获得相当于此盟友{spirit}的{blocknumberless}。;
00059_CARD_NAME;Meteor Shard;流星碎片;
00059_CARD_SUFFIX_TEXT;Hits all enemies.;命中所有敌人。;
00059_CARD_TEXT;Hero attacks from this card hit all enemies.;英雄通过这张牌的攻击会命中所有敌人。;
00061_CARD_NAME;Golden Sphere;金球;
00061_CARD_SUFFIX_TEXT;{reap} - Gain 25 gold.\n{exhaust};{reap} - 获得 25 金币。\n{exhaust};
00061_CARD_TEXT;{reap} - Gain 25 gold.\n{exhaust};{reap} - 获得 25 金币。\n{exhaust};
00062_CARD_NAME;Jagged Jewel;锯齿宝石;
00062_CARD_SUFFIX_TEXT;Attacks pierce through for half damage to the next enemy.;攻击具有穿刺效果，会对下一个敌人造成一半的伤害。;
00062_CARD_TEXT;Hero attacks from this card pierce through for half damage to the next enemy.;英雄通过这张牌的攻击具有穿刺效果，会对下一个敌人造成一半的伤害。;
00063_CARD_NAME;Magic Carpet;魔毯;
00063_CARD_TEXT;You can fly, ignoring obstacles on the map.;你可以飞行，无视地图上的障碍。;
00065_CARD_NAME;Volatile;无常;
00065_CARD_TEXT;Destroy this after attacking.;攻击后将此牌破坏。;
00066_CARD_NAME;Edible;可食;
00066_CARD_TEXT;If this is eaten, give the devouring creature +{dynamic_number|life|0} {power}.;如果此牌被吃掉，给予吞吃它的生物 +{dynamic_number|life|0} {power}。;
00067_CARD_NAME;Chalice from the Palace;宫廷高脚杯;
00067_CARD_TEXT;The hero who picks this up drafts 3 cards.;拿起这张牌的英雄抽 3 张牌。;
00068_CARD_NAME;Vault Key;宝库钥匙;
00068_CARD_TEXT;See an extra card when drafting from a Vault of Wisdom.;从智慧宝库中抽牌时可额外看到一张牌。;
00069_CARD_NAME;Magic Inkcap;魔法墨汁;
00069_CARD_TEXT;Gain a brush. Start each chapter with an additional brush.;获得一支画笔。每一章开始时都会有一支额外的画笔。;
00070_CARD_NAME;Jalmyr's Tablet;加尔玛石碑;
00070_CARD_TEXT;Alchemists are revealed on the map and are free.;炼金术士会免费显现在地图上。;
00071_CARD_NAME;Stone Skin;肌肤如石;
00071_CARD_TEXT;Sorocco has +1 max life for each card in your deck.;你牌组中每有一张牌，索洛科的最大生命值就会 +1。;
00072_CARD_NAME;Pierce Attack;穿刺攻击;
00072_CARD_TEXT;Any unblocked damage from this attack is dealt to both heroes.\nLasts for one attack.;任何未格挡的伤害都会对两个英雄造成伤害。\n持续时间为一次攻击。;
00073_CARD_NAME;Key of the Elements;元素之钥;
00073_CARD_TEXT;All cards in your hand cost {faeria|0} until the end of turn.\n{exhaust};你手牌中的所有牌消耗为 {faeria|0}，直到回合结束。\n{exhaust};
00074_CARD_NAME;Key of the Guardians;守护者之钥;
00074_CARD_TEXT;Summon two Divine Guardians.\n{exhaust};召唤两个神圣守护者。\n{exhaust};
00075_CARD_NAME;Key of the Giants;巨人之钥;
00075_CARD_TEXT;Increase the {power} of all allies by 10.\n{exhaust};所有盟友的 {power} 增加 10 点。\n{exhaust};
00076_CARD_NAME;Leaf of Everlife;永生之叶;
00076_CARD_TEXT;Heal a random hero for 7.\n{exhaust};治疗一个随机的英雄 7 点。\n{exhaust};
00077_CARD_NAME;Flame of Ignus;伊恩尼斯烈焰;
00077_CARD_TEXT;Whenever a card grants you energy, gain {faeria|1}.;每有一张牌给予你能量，就获得 {faeria|1}。;
00078_CARD_NAME;Hellfire;地狱火;
00078_CARD_TEXT;Deal 30 damage to all enemies.\n{exhaust}\nEvery time you {exhaust} a card, reduce this cost by {faeria|1}.;对所有敌人造成 30 点伤害。\n{exhaust}\n每次你{exhaust}一张牌，将此消耗减少 {faeria|1}。;
00079_CARD_NAME;Masterstroke;大手笔;
00079_CARD_TEXT;Gain 1 additional ink bottle at the end of this battle.\n{exhaust};在这场战斗结束时获得 1 个额外的墨水瓶。\n{exhaust};
00080_CARD_NAME;Divine Guardian;神圣守护者;
00080_CARD_TEXT;{ally}\n{spiritless};{ally}\n{spiritless};
00081_CARD_NAME;Regeneration;再生;
00081_CARD_TEXT;At the start of each turn, heal for {dynamic_number|life|0}.;在每个回合开始时，治疗 {dynamic_number|life|0} 点。;
00082_CARD_NAME;Guilt;愧疚;
00082_CARD_TEXT;How can I hurt something so fluffy?;我怎么能伤害如此毛茸茸的东西呢？;
00083_CARD_NAME;Friendship;友谊;
00083_CARD_TEXT;Maybe we can be friends?;也许我们可以成为朋友？;
00084_CARD_NAME;Blessing of Majinata;马吉纳塔的祝福;
00084_CARD_TEXT;Has the blessing of Majinata.\nPower is increased by {dynamic_number|life|0}.\nGains {dynamic_number|life|0} block per turn.\nGains {dynamic_number|powerUp|0} {power} every turn.;拥有马吉纳塔的祝福。\n力量增加 {dynamic_number|life|0} 点。\n每回合获得 {dynamic_number|life|0} 点格挡。\n每回合获得 {dynamic_number|powerUp|0} 点{power}。;
00085_CARD_NAME;Yak;牦牛;
00086_CARD_NAME;Faerie Protection;仙灵保护;
00086_CARD_TEXT;Can't lose more than 1 life at a time.;一次失去的生命值不会超过 1 点。;
00087_CARD_NAME;Reallocate;重新分配;
00087_CARD_TEXT;{combo}\nUntil the end of turn, reduce an enemy's {power} by 2 and your other hero gains 2 {power}.;{combo}\n直到回合结束，减少一个敌人的{power} 2 点，你的另一个英雄获得 2 点{power}。;
00088_CARD_NAME;Coup de Grace;无痛处决;
00088_CARD_TEXT;{retain}, {combo}\nAttack twice for damage equal to the size of your discard pile. ({dynamic_number|power|0});{retain}，{combo}\n攻击两次，伤害等于你的弃牌堆张数。（{dynamic_number|power|0}）;
00089_CARD_NAME;Feet of Fire;火焰之脚;
00089_CARD_TEXT;Whenever the heroes swap, Seifer gains 3 {rage}.;每当英雄交换时，塞弗获得 3 点{rage}。;
00090_CARD_NAME;Expert Looter;夺金专家;
00090_CARD_TEXT;At the end of each battle, gain 1 gold for every two cards in your deck.;在每场战斗结束时，你的牌组中每两张牌获得 1 金币。;
00091_CARD_NAME;Barrage;弹幕;
00091_CARD_TEXT;Attack all enemies for {dynamic_number|power|15}. \nIf you played a card that cost {faeria|2} or more last turn, this costs {faeria|1} less.;攻击所有敌人 {dynamic_number|power|15} 点。\n如果你上一回合打出一张消耗为 {faeria|2} 或更高的牌，这张牌的消耗就会减少 {faeria|1}。;
00092_CARD_NAME;Courageous;勇敢;
00092_CARD_TEXT;Sharra starts each battle with 3 {courage}.;莎拉在每场战斗开始时都有 3 点{courage}。;
00093_CARD_NAME;Sagacity;聪慧;
00093_CARD_TEXT;Start each battle with 3 {refer|218}<b>s</b> in hand.;每场战斗开始时手牌中有 3 张{refer|218}<b></b>。;
00094_CARD_NAME;Rakoan Evoker;瑞寇召唤者;
00095_CARD_NAME;Kappa Strength;河童力量;
00095_CARD_TEXT;Whenever you {exhaust} a card, Aurora gains 1 {power}.;每当你{exhaust}一张牌，奥罗拉都会获得 1 点{power}。;
00096_CARD_NAME;Longevity;长寿;
00096_CARD_TEXT;At the end of your turn, Aurora heals life equal to your hand size.;在你的回合结束时，奥罗拉会为你治疗，恢复的生命值等于你的手牌张数。;
00097_CARD_NAME;Stoicism;坚忍;
00097_CARD_TEXT;At the start of each turn, gain {block|4}.\nThis effect ends once you shuffle your deck.;在每个回合开始时，获得 {block|4}。\n一旦洗牌，此效果就结束。;
00098_CARD_NAME;Focus;聚焦;
00098_CARD_TEXT;At the start of your next turn, Draw {dynamic_number|life|0} Sharra cards, Gain {dynamic_number|life|0} energy, and move Sharra to the front.;在你下一回合开始时，抽 {dynamic_number|life|0} 张莎拉牌，获得 {dynamic_number|life|0} 点能量，并将莎拉移到前方。;
00099_CARD_NAME;Soul Eater;噬魂者;
00100_CARD_NAME;Hate;憎恨;
00100_CARD_TEXT;Stay enraged until the end of your turn.;保持愤怒，直到你的回合结束。;
00101_CARD_NAME;Hungry;饥饿;
00101_CARD_TEXT;When a creature dies this enemy consumes them, gaining {dynamic_number|life|0} {power} and skipping their next turn.;当一个生物死亡时，此敌人会消耗该生物，获得 {dynamic_number|life|0} 点{power}，并跳过该生物的下一个回合。;
00103_CARD_NAME;Kappa Study;河童研究;
00103_CARD_TEXT;Draw 2 cards.;抽 2 张牌。;
00104_CARD_NAME;Hailstorm;冰雹风暴;
00104_CARD_TEXT;Attack a random enemy for {dynamic_number|power|1}, eight times.;攻击一个随机的敌人 {dynamic_number|power|1} 点，八次。;
00106_CARD_NAME;Glider;滑翔机;
00106_CARD_TEXT;{ally}\nWhenever the heroes swap, gain {blocknumberless} equal to this ally's {spirit}. ({dynamic_number|life|0});{ally}\n每当英雄交换，获得相当于此盟友的{spirit}的 {blocknumberless}。（{dynamic_number|life|0}）;
00107_CARD_NAME;Curious Biomancer;好奇的生物医师;
00107_CARD_TEXT;{ally}\n{spiritless}\nWhile this is in play, {retain} your hand and store energy between turns.;{ally}\n{spiritless}\n当此牌在场上时，{retain}你的手牌，并在回合之间储存能量。;
00108_CARD_NAME;Shaman;萨满;
00108_CARD_TEXT;{ally}\n{activate} - If the last card you played this turn is in your discard pile, return it to your hand.;{ally}\n{activate} - 如果本回合你打出的最后一张牌在你的弃牌堆里，则把它放回你的手牌。;
00110_CARD_NAME;Soul Eater Cultist;噬魂者教徒;
00111_CARD_NAME;Eternal Hunger;永恒的饥饿;
00111_CARD_TEXT;When anything dies this enemy gains {dynamic_number|life|0} {power}.;当任何东西死亡时，该敌人获得 {dynamic_number|life|0} 点 {power}。;
00112_CARD_NAME;Eureka;大发现;
00112_CARD_TEXT;Choose a card to draw from your deck.\n{exhaust};从你的牌组选择一张牌抽取。\n{exhaust};
00113_CARD_NAME;Spellwhirl;魔力漩涡;
00113_CARD_TEXT;Choose a hero. \nAdd 2 random cards of that hero to your hand.;选择一个英雄。\n将该英雄的 2 张随机牌加入你的手牌。;
00115_CARD_NAME;Repulse;击退;
00115_CARD_TEXT;Gain {blocknumberless} equal to three times your hand size. ({dynamic_number|handSize|0});获得相当于你手牌张数三倍的{blocknumberless}。（{dynamic_number|handSize|0}）;
00116_CARD_NAME;Split the Timeline;分割时间线;
00116_CARD_TEXT;Draw until you have 9 cards in hand. \nDiscard 3 cards then put 3 cards on top of your deck.\n{exhaust};抽牌直到你有 9 张手牌为止。\n丢弃 3 张牌，然后把 3 张牌放在你的牌组上面。\n{exhaust};
00117_CARD_NAME;Toadsuit;青蛙衣;
00117_CARD_TEXT;Summon 5 {refer|3016}. Gain {dynamic_number|frogs|5} {blocknumberless}. (<b>Block</b> equal to the number of <b>Frogs</b> you have.)\n{exhaust};召唤 5 个{refer|3016}。获得 {dynamic_number|frogs|5} 点{blocknumberless}。（<b>格挡</b>值相当于你拥有的 <b>青蛙</b>数量。）\n{exhaust};
00118_CARD_NAME;Triton Breeder;崔顿繁育者;
00118_CARD_TEXT;{ally}\n{spiritless}\nWhenever you summon {refer|3016}, summon twice as many.;{ally}\n{spiritless}\n每当你召唤{refer|3016}，就会召唤出两倍的数量。;
00119_CARD_NAME;Phantasmal Might;幻灵之力;
00119_CARD_TEXT;Whenever you draw or play this, the other hero gains 2 {power} until end of turn.;每当你抽到这张牌时，另一个英雄获得 2 点{power}，直到回合结束。;
00120_CARD_NAME;Fleshweave;肌肤缝合;
00120_CARD_RAGE_TEXT;Heal 12 life.\n{exhaust};治疗 12 点生命值。\n{exhaust};
00120_CARD_TEXT;Heal 7 life.\n{exhaust};治疗 7 点生命值。\n{exhaust};
00121_CARD_NAME;Absorb Soul;吸收灵魂;
00121_CARD_RAGE_TEXT;{heroic}\nAttack for {dynamic_number|power|24}.\n{reap} - Heal 12 life.;{heroic}\n攻击 {dynamic_number|power|24} 点。\n{reap} - 治疗 12 点生命值。;
00121_CARD_TEXT;{heroic}\nAttack for {dynamic_number|power|16}.\n{reap} - Heal 8 life.;{heroic}\n攻击 {dynamic_number|power|16} 点。\n{reap} - 获得 8 点生命值。;
00122_CARD_NAME;Krog's Dinner;克罗格的晚饭;
00122_CARD_RAGE_TEXT;{ally}\n{aggressive}\nWhen this is destroyed, heal Seifer equal to this ally's {spirit}. ({dynamic_number|life|0})\nYou may sacrifice this.;{ally}\n{aggressive}\n当此牌被破坏时治疗塞弗，数值等于此盟友的{spirit}。（{dynamic_number|life|0}）\n你可以牺牲此牌。;
00122_CARD_TEXT;{ally}\n{aggressive}\nWhen this is destroyed, heal Seifer equal to this ally's {spirit}. ({dynamic_number|life|0})\nYou may sacrifice this.;{ally}\n{aggressive}\n当此牌被破坏时治疗塞弗，数值等于此盟友的{spirit}。（{dynamic_number|life|0}）\n你可以牺牲此牌。;
00123_CARD_NAME;Battle Rager;战地狂暴者;
00123_CARD_RAGE_TEXT;{ally}\n{spiritless}\nWhen you play this gain {faeria|3}.\nWhenever any hero takes damage, you gain {faeria|1}.;{ally}\n{spiritless}\n当你打出此牌时，获得 {faeria|3}。\n每当任何英雄受到伤害时，你获得 {faeria|1}。;
00123_CARD_TEXT;{ally}\n{spiritless}\nWhenever any hero takes damage, you gain {faeria|1}.;{ally}\n{spiritless}\n每当任何英雄受到伤害时，你获得 {faeria|1}。;
00124_CARD_NAME;Dark Knowledge;黑暗知识;
00124_CARD_RAGE_TEXT;Choose 2 cards to draw from your deck.;从你的牌组选择 2 张牌抽取。;
00124_CARD_TEXT;Choose 2 cards to draw from your deck.\nLose 8 life.;从你的牌组选择 2 张牌抽取。\n损失 8 点生命值。;
00125_CARD_NAME;Resilience;复原力;
00125_CARD_TEXT;Whenever Sharra takes damage, she gains two stacks of {courage}.;每当莎拉受到伤害时，她会获得两层 {courage}。;
00126_CARD_NAME;Evasive;回避;
00126_CARD_TEXT;This creature gains {dynamic_number|life|0} {blocknumberless} each turn.;该生物每回合获得 {dynamic_number|life|0} {blocknumberless}。;
00127_CARD_NAME;Elite War Yaks;精英战争牦牛;
00127_CARD_TEXT;At the end of each turn, give all Yaks {dynamic_number|twiceLife|0} {blocknumberless} and +{dynamic_number|life|0} {power}. (Yakkapult is a yak.);在每个回合结束时，给予所有牦牛 {dynamic_number|twiceLife|0} 点{blocknumberless}，以及 +{dynamic_number|life|0} {power}。（投牛车是一种牦牛。）;
00128_CARD_NAME;Summon;召唤;
00128_CARD_TEXT;This creature was summoned. Summons do not have to be defeated to end the battle.;这个生物是被召唤出来的。召唤物不一定要被打败才能结束战斗。;
00129_CARD_NAME;Concussed;脑震荡;
00129_CARD_TEXT;Discard a random card of this hero at the start of their turn.\nDestroy this at the end of the hero's turn.;在此英雄的回合开始时，丢弃该英雄的一张随机牌。\n在此英雄的回合结束时将其破坏。;
00130_CARD_NAME;Tripped;绊倒;
00130_CARD_TEXT;On the next turn, the first card this hero plays costs {dynamic_number|life|0} more.;在下一回合，此英雄所打出的第一张卡牌要多消耗 {dynamic_number|life|0} 点。;
00131_CARD_NAME;Stealth;潜行;
00131_CARD_TEXT;Stealth enemies cannot be targeted.\nIf there are no more revealed enemies, stealth is removed.;潜行的敌人不能成为目标。\n如果没有更多已显现的敌人，潜行就会被移除。;
00132_CARD_NAME;Tiki Reinforcements;提基增援;
